"","timestamp","month","sentiment","html"
"286",2015-06-18,2015-06-01,4,"<span class=""sentiment2"">inspired</span> by what @pontifex wrote on climate change <span class=""sentiment1"">agree</span> we have a moral responsibility to act to <span class=""sentiment1"">protect</span> our kids and god's creation"
"285",2015-06-19,2015-06-01,-1,"in the midst of <span class=""sentiment-2"">darkest</span> <span class=""sentiment-2"">tragedy</span> the decency and <span class=""sentiment3"">goodness</span> of the american people shines through in these families https//tco/aytakrwwcy"
"284",2015-06-21,2015-06-01,3,"<span class=""sentiment3"">good</span> point mitt https//tco/ryusfp8xbh"
"283",2015-06-21,2015-06-01,-3,"here are the stats per population we <span class=""sentiment-3"">kill</span> each other with guns at a rate 297x more than japan 49x more than france 33x more than israel"
"282",2015-06-21,2015-06-01,2,"expressions of <span class=""sentiment2"">sympathy</span> aren’t enough it’s time we do something about this"
"281",2015-06-22,2015-06-01,8,"<span class=""sentiment3"">good</span> <span class=""sentiment3"">luck</span> team usa – make us <span class=""sentiment2"">proud</span> out there #onenationoneteam http//tco/btu3drxpbr"
"280",2015-06-25,2015-06-01,2,"today's decision is a victory for every hardworking american access to quality affordable health <span class=""sentiment2"">care</span> is a right not a privilege"
"279",2015-06-25,2015-06-01,4,"more than 16 million americans have <span class=""sentiment2"">gained</span> health coverage after 5 years of the affordable <span class=""sentiment2"">care</span> act"
"278",2015-06-25,2015-06-01,-3,"129 million americans with pre-existing conditions can <span class=""sentiment-1"">no</span> longer be <span class=""sentiment-2"">denied</span> health coverage"
"277",2015-06-25,2015-06-01,-4,"women can <span class=""sentiment-1"">no</span> longer be <span class=""sentiment-3"">charged</span> more for health coverage just for being women"
"276",2015-06-25,2015-06-01,2,"more than 137 million americans have guaranteed access to preventive <span class=""sentiment2"">care</span> <span class=""sentiment2"">like</span> <span class=""sentiment-1"">cancer</span> screenings and birth control at <span class=""sentiment-1"">no</span> out-of-pocket cost"
"275",2015-06-25,2015-06-01,-1,"the uninsured rate is the <span class=""sentiment-1"">lowest</span> it's ever been let's keep at it until every american has quality affordable health insurance"
"274",2015-06-26,2015-06-01,3,"today is a <span class=""sentiment1"">big</span> step in our march toward equality gay and lesbian couples now have the right to marry just <span class=""sentiment2"">like</span> anyone else #lovewins"
"273",2015-06-26,2015-06-01,3,"so <span class=""sentiment2"">inspired</span> by the <span class=""sentiment1"">grace</span> shown by the simmons family and all the victims' families in charleston #hatewontwin http//tco/jms0sduyui"
"272",2015-06-30,2015-06-01,1,"a <span class=""sentiment-1"">hard</span> day's work deserves a <span class=""sentiment2"">fair</span> day's <span class=""sentiment-1"">pay</span> that's why i'm announcing my plan to <span class=""sentiment1"">extend</span> overtime protections https//tco/mrv56vtna9"
"271",2015-07-01,2015-07-01,4,"<span class=""sentiment2"">congrats</span> to the #uswnt can't wait for the finals you make us all <span class=""sentiment2"">proud</span>"
"270",2015-07-01,2015-07-01,4,"hello from nashville i'll be answering your questions on health <span class=""sentiment2"">care</span> and the affordable <span class=""sentiment2"">care</span> act at 330pm et tweet yours using #askpotus"
"269",2015-07-01,2015-07-01,2,"alright let's do this ready to answer your health <span class=""sentiment2"">care</span> questions keep 'em coming with #askpotus http//tco/wk8rdf2h0i"
"268",2015-07-01,2015-07-01,4,"we need to <span class=""sentiment2"">encourage</span> states to take <span class=""sentiment2"">advantage</span> of medicaid expansion could insure 4 mil more people in 22 states https//tco/s9rlkvb1an"
"267",2015-07-01,2015-07-01,6,"not <span class=""sentiment2"">true</span> - <span class=""sentiment2"">like</span> last year insurers request premium hikes but must be <span class=""sentiment2"">approved</span> expect final increases to be less   https//tco/wfji2aolkp"
"266",2015-07-01,2015-07-01,4,"<span class=""sentiment2"">congratulations</span> <span class=""sentiment2"">hope</span> you guys are getting sleep nothing beats babies https//tco/ymgm0harad"
"265",2015-07-01,2015-07-01,2,"now's time to <span class=""sentiment2"">encourage</span> states that held off for political reasons to do the right thing contact state officials https//tco/qquy3s9moc"
"264",2015-07-01,2015-07-01,7,"ex-im bank <span class=""sentiment2"">helps</span> us companies export that means <span class=""sentiment3"">good</span> paying american jobs <span class=""sentiment2"">optimistic</span> that congress gets it done https//tco/uebhgil64b"
"263",2015-07-01,2015-07-01,-1,"have principles and issues you are <span class=""sentiment2"">passionate</span> about and act <span class=""sentiment-3"">worry</span> more about doing something than being something https//tco/qqbgflhxdy"
"262",2015-07-01,2015-07-01,0,"there's a <span class=""sentiment-2"">hardship</span> exemption <span class=""sentiment2"">fine</span> only applies to folks who can afford insurance but choose not to https//tco/xwfekbzcat"
"261",2015-07-01,2015-07-01,0,"was listening to outkast/liberation and the black keys/lonely boy this morning https//tco/1dp6crdwlm"
"260",2015-07-01,2015-07-01,0,"respect the nyt but not buying peas in guac onions garlic hot peppers classic https//tco/meei8qhh1v"
"259",2015-07-01,2015-07-01,1,"pushing to make 2 yrs comm college <span class=""sentiment1"">free</span> permit refinancing on student loans push colleges to keep tuition low https//tco/dtbtndqsii"
"258",2015-07-01,2015-07-01,-2,"people <span class=""sentiment-2"">lack</span> info/turned off by political noise w court case done let's focus on getting people signed up https//tco/vfcdgmxse9"
"257",2015-07-01,2015-07-01,3,"butler's a <span class=""sentiment3"">great</span> player on o and d let's sign him up long term go bulls https//tco/iqbyumcbmj"
"256",2015-07-01,2015-07-01,7,"gotta go but this was <span class=""sentiment4"">fun</span> let's keep the health <span class=""sentiment2"">care</span> conversation going - <span class=""sentiment1"">share</span> how the #acaworks for you or your family"
"255",2015-07-02,2015-07-01,2,"rt @notoriousllt sister is <span class=""sentiment1"">legally</span> <span class=""sentiment-1"">blind</span> &amp on disability b/c of glaucoma she needs <span class=""sentiment2"">care</span> to keep sight she has left with #aca she can aff…"
"254",2015-07-02,2015-07-01,-1,"rt @randynaverysmom #askpotus my dad is a small biz owner and never had insurance #aca allowed him access to life saving <span class=""sentiment-1"">cancer</span> screening…"
"253",2015-07-02,2015-07-01,0,"rt @crazywritinfool @potus #acaworks because i could switch insurance providers to get a lower rate couldn't before due to preexisting c…"
"252",2015-07-02,2015-07-01,1,"rt @hotelkeys @potus 
23yrold recent grad has full-time job but <span class=""sentiment-1"">no</span> insurance <span class=""sentiment2"">peace</span> of mind that she can be on our plan #acaworks"
"251",2015-07-02,2015-07-01,0,"it's not mine just a loaner maybe you can come play at the white house sometime instead  https//tco/srzkb6plzz"
"250",2015-07-04,2015-07-01,11,"it doesn't get much <span class=""sentiment2"">better</span> than <span class=""sentiment3"">celebrating</span> america with the people you <span class=""sentiment3"">love</span> <span class=""sentiment3"">happy</span> fourth of july everyone"
"249",2015-07-05,2015-07-01,0,"http//tco/ft3dwywrjv"
"248",2015-07-06,2015-07-01,9,"what a <span class=""sentiment4"">win</span> for team usa <span class=""sentiment3"">great</span> game @carlilloyd your country is so <span class=""sentiment2"">proud</span> of all of you come visit the white house with the world cup soon"
"247",2015-07-10,2015-07-01,7,"south carolina taking down the confederate flag - a signal of <span class=""sentiment3"">good</span> will and healing and a <span class=""sentiment2"">meaningful</span> step towards a <span class=""sentiment2"">better</span> future"
"246",2015-07-14,2015-07-01,0,"just spoke to the naacp about <span class=""sentiment-3"">criminal</span> <span class=""sentiment2"">justice</span> reform something many broadly <span class=""sentiment1"">agree</span> on some stats"
"245",2015-07-14,2015-07-01,-2,"america is home to 5% of the world's population but 25% of the world's <span class=""sentiment-2"">prisoners</span>"
"244",2015-07-14,2015-07-01,2,"america keeps more people behind bars than the <span class=""sentiment2"">top</span> 35 european countries combined"
"243",2015-07-14,2015-07-01,0,"in 1980 there were 500000 people in american jails today there are 22 million many belong but too many are nonviolent offenders"
"242",2015-07-14,2015-07-01,-1,"the $80 billion we spend each year to keep people incarcerated could <span class=""sentiment-1"">pay</span> for universal pre-k for every 3-year-old and 4-year-old in america"
"241",2015-07-14,2015-07-01,0,"the $80 billion we spend each year on incarcerations could double the salary of every high school teacher in america"
"240",2015-07-14,2015-07-01,0,"we could eliminate tuition at every public college and university in america with the $80 billion we spend each year on incarcerations"
"239",2015-07-14,2015-07-01,4,"mass incarceration doesn't work let's build communities that give kids a shot at <span class=""sentiment2"">success</span> and prisons that prepare people for a 2nd <span class=""sentiment2"">chance</span>"
"238",2015-07-15,2015-07-01,4,"<span class=""sentiment3"">good</span> conversation with tom friedman on the deal we <span class=""sentiment1"">reached</span> with iran it's a major step toward a safer world  https//tco/xwsrh9iofg"
"237",2015-07-15,2015-07-01,5,"pluto just had its first visitor <span class=""sentiment2"">thanks</span> @nasa - it's a <span class=""sentiment3"">great</span> day for discovery and american leadership http//tco/ffztbsmbk0"
"236",2015-07-17,2015-07-01,3,"<span class=""sentiment2"">congrats</span> to oregon on passing two years of <span class=""sentiment1"">free</span> community college every hardworking student deserves access to higher education"
"235",2015-07-17,2015-07-01,7,"had a <span class=""sentiment3"">great</span> visit today with emma didlake - our oldest living veteran at 110-years-young she's a <span class=""sentiment2"">true</span> american <span class=""sentiment2"">hero</span> http//tco/eeeic3ak4a"
"234",2015-07-20,2015-07-01,4,"just got this new blue marble photo from @nasa a <span class=""sentiment3"">beautiful</span> reminder that we need to <span class=""sentiment1"">protect</span> the only planet we have http//tco/jq3174p0lf"
"233",2015-07-21,2015-07-01,0,"rt @theirandeal the historic #irandeal succeeds in verifying that iran cannot obtain a nuclear weapon follow to get the facts http//tc…"
"232",2015-07-22,2015-07-01,1,"el doctorow was one of america's <span class=""sentiment3"">greatest</span> novelists his books taught me much and he will be <span class=""sentiment-2"">missed</span>"
"231",2015-07-24,2015-07-01,5,"<span class=""sentiment2"">proud</span> to be the first american president to visit kenya <span class=""sentiment3"">happy</span> to see family and to talk with young kenyans about the future"
"230",2015-07-26,2015-07-01,1,"25 years of the ada and americans with disabilities are breaking more barriers than ever making all of us more <span class=""sentiment1"">free</span> let's keep going"
"229",2015-07-30,2015-07-01,4,"<span class=""sentiment3"">happy</span> 50th birthday medicare and medicaid two programs one <span class=""sentiment1"">promise</span> that every american deserves a basic measure of dignity and security"
"228",2015-07-31,2015-07-01,1,"launching a pilot program to <span class=""sentiment2"">help</span> students in <span class=""sentiment-2"">prison</span> <span class=""sentiment-1"">pay</span> for college because everyone willing to work for it deserves a second <span class=""sentiment2"">chance</span>"
"227",2015-08-01,2015-08-01,2,"hey @stationcdrkelly <span class=""sentiment2"">loving</span> the photos do you ever look out the window and just freak out"
"226",2015-08-03,2015-08-01,3,"today we're announcing america's <span class=""sentiment2"">clean</span> power plan—the most <span class=""sentiment2"">important</span> step we've ever taken to <span class=""sentiment-1"">combat</span> climate change here are the facts"
"225",2015-08-03,2015-08-01,0,"levels of carbon dioxide in our atmosphere are higher than they’ve been in 800000 years 2014 was the planet’s warmest year on record"
"224",2015-08-03,2015-08-01,0,"right now power plants account for about one-third of america’s carbon pollution that’s more than our cars airplanes and homes combined"
"223",2015-08-03,2015-08-01,2,"it's time to change that with the <span class=""sentiment2"">clean</span> power plan by 2030 carbon pollution from power plants will be 32% lower than it was a decade ago"
