"","timestamp","month","sentiment","html"
"176",2015-10-20,2015-10-01,-1,"rt @factsonclimate climate change <span class=""sentiment-2"">threatens</span> us all and it will take all of us to <span class=""sentiment1"">solve</span> it get the facts on how we can https//tco/d0ui…"
"175",2015-10-21,2015-10-01,-1,"heading to west virginia today to talk about the epidemic of prescription drug <span class=""sentiment-3"">abuse</span> in america and what we can do to <span class=""sentiment2"">help</span> the facts"
"174",2015-10-21,2015-10-01,-2,"120 americans <span class=""sentiment-3"">die</span> every day from drug overdoses - most involving <span class=""sentiment1"">legal</span> prescription drugs that's more than from car crashes"
"173",2015-10-21,2015-10-01,2,"sales of <span class=""sentiment2"">powerful</span> painkillers have skyrocketed in 2012 enough prescriptions were written to give every american adult a bottle of pills"
"172",2015-10-21,2015-10-01,0,"4 in 5 heroin users started out by misusing prescription opioids heroin-related deaths nearly quadrupled between 2002 and 2013"
"171",2015-10-21,2015-10-01,-3,"with <span class=""sentiment-1"">no</span> other disease do we expect people to wait until they're a <span class=""sentiment-2"">danger</span> to themselves or others to self-diagnose and seek treatment"
"170",2015-10-21,2015-10-01,2,"communities are showing that we should approach substance use disorders as an <span class=""sentiment2"">opportunity</span> to intervene rather than a race to incarcerate"
"169",2015-10-21,2015-10-01,3,"so i'm <span class=""sentiment2"">eager</span> to hear from folks in charleston today on actions we can take to put recovery within <span class=""sentiment1"">reach</span> for anyone who needs it"
"168",2015-10-21,2015-10-01,3,"<span class=""sentiment3"">happy</span> back to the future day @realmikefox ever think about the fact that we live in the future we dreamed of then that's heavy man"
"167",2015-10-23,2015-10-01,0,"our thoughts are with the mexican people as they brace for hurricane patricia usaid <span class=""sentiment-2"">disaster</span> experts are on the ground and ready to <span class=""sentiment2"">help</span>"
"166",2015-10-28,2015-10-01,5,"<span class=""sentiment3"">good</span> to be home for a night even <span class=""sentiment2"">better</span> to see the @chicagobulls start the season off right #seered"
"165",2015-10-29,2015-10-01,8,"who knew community policing could involve the nae nae <span class=""sentiment3"">great</span> example of police having <span class=""sentiment4"">fun</span> while keeping us <span class=""sentiment1"">safe</span> https//tco/zgetdm6oyw"
"164",2015-11-01,2015-11-01,2,"every american deserves quality affordable health <span class=""sentiment2"">care</span> if you or a friend needs coverage go to https//tco/pj7xil6fjy and sign up now"
"163",2015-11-09,2015-11-01,1,"i just <span class=""sentiment1"">launched</span> my facebook page with a video on climate change america will lead on this the time to act is now https//tco/wg5y1fbhia"
"162",2015-11-11,2015-11-01,2,"today we <span class=""sentiment2"">honor</span> the incredible men and women who have served our country their sacrifice and selflessness is second to none"
"161",2015-11-12,2015-11-01,2,"this is an american <span class=""sentiment2"">hero</span> capt groberg put it all on the line for his team on his <span class=""sentiment-3"">worst</span> day he gave us his <span class=""sentiment3"">best</span> https//tco/wdwapswjpe"
"160",2015-11-18,2015-11-01,-3,"protecting the american people is my <span class=""sentiment2"">top</span> priority with our 65 global partners we're leading the campaign to <span class=""sentiment-2"">degrade</span> and <span class=""sentiment-3"">destroy</span> isil"
"159",2015-11-18,2015-11-01,2,"we also <span class=""sentiment4"">win</span> this <span class=""sentiment-1"">fight</span> with our values america can <span class=""sentiment1"">ensure</span> our own security while welcoming refugees <span class=""sentiment-3"">desperately</span> seeking <span class=""sentiment1"">safety</span> from isil"
"158",2015-11-18,2015-11-01,-3,"we will provide refuge to at least 10000 refugees fleeing <span class=""sentiment-3"">violence</span> in syria over the next year after they pass the highest security checks"
"157",2015-11-18,2015-11-01,-5,"here our focus is giving <span class=""sentiment1"">safe</span> haven to the most <span class=""sentiment-2"">vulnerable</span> syrians – women children and survivors of <span class=""sentiment-4"">torture</span>"
"156",2015-11-18,2015-11-01,2,"welcoming the world’s <span class=""sentiment-2"">vulnerable</span> who seek the <span class=""sentiment1"">safety</span> of america is not new to us we've <span class=""sentiment1"">safely</span> <span class=""sentiment2"">welcomed</span> 3 million refugees since 1975"
"155",2015-11-18,2015-11-01,-3,"slamming the door in the face of refugees would <span class=""sentiment-3"">betray</span> our deepest values that's not who we are and it's not what we're going to do"
"154",2015-11-26,2015-11-01,10,"<span class=""sentiment3"">happy</span> thanksgiving everyone today we give <span class=""sentiment2"">thanks</span> for all of our <span class=""sentiment3"">loved</span> ones and the <span class=""sentiment2"">brave</span> men and women in uniform who serve our country"
"153",2015-11-28,2015-11-01,3,"enjoyed <span class=""sentiment-1"">stopping</span> by upshur street books today <span class=""sentiment3"">celebrate</span> small business saturday by <span class=""sentiment1"">supporting</span> a business near you https//tco/udtcihxtoc"
"152",2015-11-29,2015-11-01,3,"<span class=""sentiment3"">good</span> news the world now adds more <span class=""sentiment2"">clean</span> power capacity each year than <span class=""sentiment-2"">dirtier</span> fossil-fuel based power capacity https//tco/nrniwdakun"
"151",2015-11-30,2015-11-01,2,"addressing climate change takes all of us especially the private sector going all-in on <span class=""sentiment2"">clean</span> energy worldwide https//tco/qq6wczur1z"
"150",2015-12-09,2015-12-01,-1,"150 years since the abolition of <span class=""sentiment-3"">slavery</span> a turning point in our history <span class=""sentiment2"">progress</span> - that's our story"
"149",2015-12-09,2015-12-01,4,"herzlichen glückwunsch to my friend and time's person of the year angela merkel <span class=""sentiment2"">thanks</span> for your moral leadership and <span class=""sentiment2"">strong</span> partnership"
"148",2015-12-10,2015-12-01,-2,"the opioid epidemic is <span class=""sentiment-3"">destroying</span> lives we need to put treatment within <span class=""sentiment1"">reach</span> of anyone who needs it https//tco/rjfkkield9"
"147",2015-12-12,2015-12-01,8,"the <span class=""sentiment2"">strong</span> paris <span class=""sentiment1"">agreement</span> on climate means a safer more <span class=""sentiment2"">secure</span> world for our kids a <span class=""sentiment3"">perfect</span> example of what american leadership can do"
"146",2015-12-16,2015-12-01,7,"<span class=""sentiment2"">congrats</span> on a <span class=""sentiment3"">great</span> career abby wambach for the goals you’ve scored &amp the kids you’ve <span class=""sentiment2"">inspired</span> you’re the goat https//tco/kud56chsbo"
"145",2015-12-18,2015-12-01,2,"rt @nasa @nasa_hubble found what looks <span class=""sentiment2"">like</span> a cosmic lightsaber in our milky way galaxy https//tco/vvbsvtph2l #starwars https//tco/p…"
"144",2015-12-20,2015-12-01,-2,"zaevion dobson <span class=""sentiment-3"">died</span> saving three friends from getting shot he was a <span class=""sentiment2"">hero</span> at 15 what's our <span class=""sentiment-1"">excuse</span> for not acting https//tco/hn98ugsjkz"
"143",2015-12-23,2015-12-01,-3,"i'm <span class=""sentiment2"">proud</span> of the @nba for taking a stand against <span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> <span class=""sentiment2"">sympathy</span> for <span class=""sentiment-3"">victims</span> isn't enough – change requires all of us speaking up"
"142",2015-12-25,2015-12-01,5,"from the obama family to yours <span class=""sentiment3"">merry</span> christmas and a special <span class=""sentiment2"">thank</span> you to all our men and women in uniform this holiday season"
"141",2016-01-04,2016-01-01,-1,"each year more than 30000 american lives are <span class=""sentiment-1"">cut</span> short by guns - two-thirds coming from suicides too many americans have <span class=""sentiment-3"">lost</span> <span class=""sentiment3"">loved</span> ones"
"140",2016-01-04,2016-01-01,-5,"guns now <span class=""sentiment-3"">kill</span> as many people as cars in almost half of the us we can't <span class=""sentiment-1"">stop</span> every act of <span class=""sentiment-3"">violence</span> but we can <span class=""sentiment2"">save</span> lives if we act"
"139",2016-01-04,2016-01-01,-2,"tomorrow i'm taking action to reduce <span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> and <span class=""sentiment2"">save</span> lives - protecting the second amendment and our kids https//tco/vnqxehac9m"
"138",2016-01-04,2016-01-01,-3,"we will keep guns out of the <span class=""sentiment-2"">wrong</span> hands enforce our guns laws and <span class=""sentiment1"">ensure</span> those with serious mental <span class=""sentiment-2"">illnesses</span> get treatment"
"137",2016-01-04,2016-01-01,0,"what's often <span class=""sentiment-2"">ignored</span> in this debate is that a majority of <span class=""sentiment-1"">gun</span> owners <span class=""sentiment1"">agree</span> with commonsense steps to <span class=""sentiment2"">save</span> lives"
"136",2016-01-04,2016-01-01,-2,"the <span class=""sentiment-1"">gun</span> <span class=""sentiment-2"">lobby</span> may be holding congress hostage but they can't hold america hostage we can't <span class=""sentiment1"">accept</span> this carnage in our communities"
"135",2016-01-06,2016-01-01,2,"about time denis <span class=""sentiment2"">welcome</span> let me know if you need any pointers https//tco/wulluehj28"
"134",2016-01-12,2016-01-01,1,"so <span class=""sentiment2"">proud</span> of you scott how long is the <span class=""sentiment-1"">delay</span> up there see you when you get back  https//tco/dobpadezxq"
"133",2016-01-13,2016-01-01,4,"i'm treating this last state of the union just <span class=""sentiment2"">like</span> my first - because i'm still just as hungry i <span class=""sentiment2"">hope</span> you tune in because it's for you"
"132",2016-01-14,2016-01-01,2,"looking forward to hearing your ideas about what we can <span class=""sentiment2"">accomplish</span> this year &amp beyond i'll answer your questions on #askpotus at 1230p et"
"131",2016-01-14,2016-01-01,0,"hey everyone ready to answer your questions here at mckinley high school in baton rouge let's do this #askpotus https//tco/ja1mebwcxg"
"130",2016-01-14,2016-01-01,4,"before i start wanted to <span class=""sentiment1"">share</span> this liberia is now ebola-free <span class=""sentiment3"">great</span> example of what we can achieve when we lead https//tco/qjvcwg8tii"
"129",2016-01-14,2016-01-01,3,"expanded pell <span class=""sentiment1"">grants</span> capped loan repayments at 10% income but now <span class=""sentiment1"">want</span> to also make 2 yrs community college <span class=""sentiment1"">free</span> https//tco/rs9xfdpp9c"
"128",2016-01-14,2016-01-01,2,"new la gov edwards just expanded medicaid gets 1000s coverage &amp <span class=""sentiment2"">helps</span> the state budget more states need to follow  https//tco/08mdx2h4pt"
"127",2016-01-14,2016-01-01,2,"new power plant rule reduces biggest source of co2 now we need to invest in <span class=""sentiment2"">clean</span> energy tech energy efficiency https//tco/gqg3fehxxo"
"126",2016-01-14,2016-01-01,9,"<span class=""sentiment3"">love</span> em all but as a bulls <span class=""sentiment3"">fan</span> got to go with mj in baton rouge just met lsu freshman ben simmons - will be <span class=""sentiment3"">great</span> https//tco/du1gflvyp4"
"125",2016-01-14,2016-01-01,-1,"health <span class=""sentiment2"">care</span> inflation <span class=""sentiment-1"">lowest</span> in decades since aca passed <span class=""sentiment-2"">problem</span> is more costs passed to workers thru copays etc https//tco/elbcrjxa6l"
"124",2016-01-14,2016-01-01,3,"overwhelming majority of americans understand of diversity and religious pluralism is one of our <span class=""sentiment3"">greatest</span> strengths  https//tco/am1jloa1ti"
"123",2016-01-14,2016-01-01,2,"so we all need to speak out against <span class=""sentiment-1"">bias</span> and stereotypes to <span class=""sentiment1"">protect</span> the <span class=""sentiment2"">freedom</span> of others and our own as well"
"122",2016-01-14,2016-01-01,1,"despite court cases <span class=""sentiment2"">like</span> citizens <span class=""sentiment1"">united</span> <span class=""sentiment-2"">ill</span> work with orgs/states across us to find new ways 2 reduce $ in politics https//tco/futdewjcyh"
"121",2016-01-14,2016-01-01,0,"the night aca passed standing on truman balcony with all staff whod made it happen knowing we'd helped millions https//tco/eur3rz3un7"
"120",2016-01-14,2016-01-01,-1,"<span class=""sentiment3"">great</span> - we need well-meaning folks from all stripes to get info on how we can respect 2a and reduce <span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> https//tco/dz0vrltrzg"
"119",2016-01-14,2016-01-01,0,"places to start - @gabbygiffords's https//tco/atm1m4imgu and @everytown"
"118",2016-01-14,2016-01-01,9,"alright everyone this was a lot of <span class=""sentiment4"">fun</span> <span class=""sentiment2"">thanks</span> for the <span class=""sentiment3"">great</span> conversation i'll be back soon"
"117",2016-01-18,2016-01-01,5,"today we <span class=""sentiment2"">honor</span> a man who challenged us to bend the arc of the moral universe toward <span class=""sentiment2"">justice</span> let's keep working to realize dr king's <span class=""sentiment1"">dream</span>"
"116",2016-01-20,2016-01-01,-3,"headed to the detroit auto show today to showcase how our auto industry has come roaring back from the financial <span class=""sentiment-3"">crisis</span> here are the stats"
"115",2016-01-20,2016-01-01,0,"in 2009 auto sales hit a 27-year low last year they hit an all-time high https//tco/pdc8w8mtb5"
"114",2016-01-20,2016-01-01,4,"american automakers have added more than 640000 jobs since mid-2009 – the <span class=""sentiment2"">strongest</span> job <span class=""sentiment2"">growth</span> on record https//tco/klrujgpzi1"
"113",2016-01-20,2016-01-01,3,"cars and trucks made in the usa are more fuel efficient than ever before – and still the <span class=""sentiment3"">best</span> in the world"
"112",2016-01-20,2016-01-01,0,"seven years ago i bet on american workers and the american auto industry i’d make that bet again any day of the week"
"111",2016-01-25,2016-01-01,-1,"the science couldn't be clearer - we owe it to our kids to do everything we can to <span class=""sentiment-1"">combat</span> climate change https//tco/497wkkve58"
"110",2016-01-29,2016-01-01,5,"we just took an <span class=""sentiment2"">important</span> step on equal <span class=""sentiment-1"">pay</span> let's keep at it until every woman &amp girl gets a <span class=""sentiment2"">fair</span> shot at <span class=""sentiment2"">success</span> https//tco/ojasak6img"
"109",2016-01-31,2016-01-01,2,"if you or someone you <span class=""sentiment2"">care</span> about needs affordable health coverage head over to https//tco/a3qpizu4p2 today's the last day to sign up"
"108",2016-01-31,2016-01-01,5,"cedrick way to go on your <span class=""sentiment3"">perfect</span> score how about you come by the next white house science <span class=""sentiment2"">fair</span> https//tco/r8tgijich7"
"107",2016-02-04,2016-02-01,7,"just got <span class=""sentiment3"">great</span> news - nearly 13 million americans signed up this round for private health insurance <span class=""sentiment2"">thanks</span> to the affordable <span class=""sentiment2"">care</span> act"
"106",2016-02-09,2016-02-01,2,"just got off the phone with coach kubiak <span class=""sentiment2"">congrats</span> to peyton von miller and that monster @broncos defense - see you at the white house"
"105",2016-02-11,2016-02-01,1,"way to ace your ap calc test landon you should come <span class=""sentiment-1"">drop</span> some knowledge at the white house science <span class=""sentiment2"">fair</span> https//tco/hfaagxvdee"
"104",2016-02-11,2016-02-01,6,"einstein was right <span class=""sentiment2"">congrats</span> to @nsf and @ligo on detecting gravitational waves - a <span class=""sentiment1"">huge</span> <span class=""sentiment3"">breakthrough</span> in how we understand the universe"
"103",2016-02-13,2016-02-01,2,"got a view yesterday of the lands we <span class=""sentiment1"">protected</span> in ca we owe it to our kids to preserve america's <span class=""sentiment1"">natural</span> beauty https//tco/8or9mrupyg"
"102",2016-02-18,2016-02-01,3,"14 months ago i announced that we would begin normalizing relations with cuba - and we've already made <span class=""sentiment1"">significant</span> <span class=""sentiment2"">progress</span>"
"101",2016-02-18,2016-02-01,0,"our flag flies over our embassy in havana once again more americans are traveling to cuba than at any time in the last 50 years"
"100",2016-02-18,2016-02-01,0,"we still have differences with the cuban government that i will raise directly america will always stand for human rights around the world"
"99",2016-02-18,2016-02-01,4,"next month i'll travel to cuba to advance our <span class=""sentiment2"">progress</span> and efforts that can <span class=""sentiment2"">improve</span> the lives of the cuban people"
"98",2016-02-18,2016-02-01,0,"here's how we're looking at the road ahead https//tco/a0kcsmpf39"
"97",2016-02-22,2016-02-01,0,"we've made <span class=""sentiment1"">big</span> strides in the <span class=""sentiment-1"">fight</span> against malaria - saving millions of lives that's american leadership at work https//tco/jvdee4qktw"
"96",2016-02-26,2016-02-01,8,"isiah i'm so <span class=""sentiment2"">proud</span> of you your kindness and <span class=""sentiment2"">willingness</span> to <span class=""sentiment2"">help</span> others is why i'm so <span class=""sentiment2"">hopeful</span> for our future https//tco/raksnxe7rk"
"95",2016-03-02,2016-03-01,0,"play ball https//tco/s4dhvya4ef"
"94",2016-03-02,2016-03-01,3,"<span class=""sentiment2"">welcome</span> back to earth @stationcdrkelly your year in space is vital to the future of american space travel <span class=""sentiment2"">hope</span> gravity isn't a <span class=""sentiment-1"">drag</span>"
"93",2016-03-08,2016-03-01,11,"<span class=""sentiment3"">happy</span> #internationalwomensday when women are <span class=""sentiment1"">free</span> to pursue their <span class=""sentiment1"">dreams</span> nations are more <span class=""sentiment1"">safe</span> more <span class=""sentiment2"">secure</span> and more <span class=""sentiment3"">prosperous</span>"
"92",2016-03-11,2016-03-01,5,"at #sxsw i'll make the case that tech and <span class=""sentiment1"">innovation</span> can make government work <span class=""sentiment2"">better</span> for everyone here's how it's working <span class=""sentiment2"">better</span> already"
"91",2016-03-11,2016-03-01,1,"we've <span class=""sentiment-1"">cut</span> the time it takes students to apply for financial aid by two-thirds <span class=""sentiment2"">thanks</span> to a simplified fafsa form https//tco/wdd1ursxir"
"90",2016-03-11,2016-03-01,0,"immigrants can now apply online to renew their green cards faster and prep for the citizenship civics test online"
"89",2016-03-11,2016-03-01,0,"nearly 1 in 3 american families <span class=""sentiment-2"">struggle</span> to afford diapers we're working with the private sector to <span class=""sentiment2"">help</span> fix this https//tco/fxvdocfeet"
"88",2016-03-11,2016-03-01,2,"seniors can now apply for social security <span class=""sentiment2"">benefits</span> online https//tco/jpehlknxfk"
"87",2016-03-11,2016-03-01,1,"looking forward to discussing more ways we can modernize government so it's as <span class=""sentiment1"">smart</span> and dynamic as america itself see you soon austin"
"86",2016-03-16,2016-03-01,4,"<span class=""sentiment2"">proud</span> to nominate judge merrick garland to the supreme court i ask senators to meet their constitutional duty and give him a <span class=""sentiment2"">fair</span> hearing"
"85",2016-03-16,2016-03-01,0,"rt @scotusnom meet chief judge merrick garland the president's nominee to the supreme court #scotusnominee https//tco/acujysyydj"
"84",2016-03-17,2016-03-01,7,"a <span class=""sentiment3"">great</span> example of how tech can make our democracy <span class=""sentiment2"">stronger</span> <span class=""sentiment2"">thanks</span> for answering the call to serve https//tco/dfu57cuxo8"
"83",2016-03-20,2016-03-01,0,"¿que bolá cuba just touched down here looking forward to meeting and hearing directly from the cuban people"
"82",2016-03-27,2016-03-01,10,"from my family to yours <span class=""sentiment3"">happy</span> easter and we <span class=""sentiment1"">wish</span> everyone <span class=""sentiment3"">celebrating</span> a blessed and <span class=""sentiment3"">joyful</span> day https//tco/fnvcihsmyb"
"81",2016-03-29,2016-03-01,-1,"rt @rephalrogers <span class=""sentiment2"">honored</span> to have our commander-in-chief @potus @rxsummit to lead this critical discussion about the nation's drug <span class=""sentiment-3"">abuse</span> ep…"
"80",2016-03-29,2016-03-01,2,"<span class=""sentiment2"">thank</span> you for your leadership @rephalrogers this epidemic doesn't discriminate between red or blue so it's up to all of us to do our part"
"79",2016-04-04,2016-04-01,-1,"nobody should have to choose between <span class=""sentiment-3"">losing</span> a paycheck &amp caring for their family i <span class=""sentiment2"">applaud</span> @nygovcuomo for taking a <span class=""sentiment1"">big</span> step on paid <span class=""sentiment-1"">leave</span>"
"78",2016-04-04,2016-04-01,-3,"rt @repjohnlewis 48 yrs ago today my friend my brother dr martin luther king jr was shot and <span class=""sentiment-3"">killed</span> in memphis tn the light of his…"
"77",2016-04-08,2016-04-01,5,"<span class=""sentiment2"">congrats</span> spacex on landing a rocket at sea it's because of innovators <span class=""sentiment2"">like</span> you &amp nasa that america continues to lead in space <span class=""sentiment1"">exploration</span>"
"76",2016-04-12,2016-04-01,1,"<span class=""sentiment2"">proud</span> to designate the belmont-paul national monument for women's equality let's keep up their <span class=""sentiment-1"">fight</span> with #equalpay for women today"
"75",2016-04-14,2016-04-01,4,"<span class=""sentiment1"">big</span> night of basketball - @warriors chasing 73 and a farewell for an
all-timer @kobebryant nba fans <span class=""sentiment1"">feeling</span> <span class=""sentiment2"">like</span> https//tco/hvno2zo5b0"
"74",2016-04-14,2016-04-01,8,"<span class=""sentiment2"">congrats</span> to the @warriors a <span class=""sentiment3"">great</span> group of guys on and off the court if somebody had to break the bulls' record i'm <span class=""sentiment3"">glad</span> it's them"
"73",2016-04-19,2016-04-01,1,"<span class=""sentiment2"">thank</span> you adrianne for being boston <span class=""sentiment2"">strong</span> <span class=""sentiment-3"">terror</span> and bombs can't beat us we carry on we finish the race https//tco/55hmcschbj"
"72",2016-04-22,2016-04-01,2,"today the us joined some 170 nations to sign the paris <span class=""sentiment1"">agreement</span> - an historic step this earth day to <span class=""sentiment1"">protect</span> the one planet we've got"
"71",2016-05-03,2016-05-01,4,"to my 5th grade teacher ms mabel hefty and the educators who <span class=""sentiment2"">inspire</span> our young people every single day <span class=""sentiment2"">thank</span> you https//tco/fz2ij8dabg"
"70",2016-05-16,2016-05-01,5,"today i <span class=""sentiment1"">join</span> all americans in <span class=""sentiment2"">honoring</span> 13 officers who went beyond the call of duty to <span class=""sentiment2"">save</span> the lives of strangers https//tco/oufzq70ovh"
"69",2016-05-30,2016-05-01,1,"this memorial day i <span class=""sentiment2"">hope</span> you'll <span class=""sentiment1"">join</span> me in acts of remembrance the <span class=""sentiment-2"">debt</span> we owe our <span class=""sentiment-2"">fallen</span> <span class=""sentiment2"">heroes</span> is one we can never truly repay"
"68",2016-06-02,2016-06-01,-4,"we cannot <span class=""sentiment1"">accept</span> our level of <span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> as the new normal we must take action to <span class=""sentiment-1"">prevent</span> this from happening again &amp again #wearorange"
"67",2016-06-04,2016-06-01,4,"he shook up the world and the world's <span class=""sentiment2"">better</span> for it rest in <span class=""sentiment2"">peace</span> champ https//tco/z1ym3sslh3"
"66",2016-06-06,2016-06-01,2,"rt @flotus together we are <span class=""sentiment2"">stronger</span> together we can change tomorrow stand with us https//tco/kmuwtuxtdb #stateofwomen
https//tco/m…"
"65",2016-06-19,2016-06-01,6,"<span class=""sentiment3"">happy</span> father's day to all the dads out there <span class=""sentiment3"">glad</span> to be spending this one with my family in yosemite https//tco/sanjgmoik1"
"64",2016-06-20,2016-06-01,3,"what a game and what a series for the @cavs <span class=""sentiment3"">happy</span> to see @kingjames bring it home for cleveland"
"63",2016-06-21,2016-06-01,-8,"<span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> requires more than moments of silence it requires action in <span class=""sentiment-2"">failing</span> that test the senate <span class=""sentiment-2"">failed</span> the american people"
"62",2016-06-21,2016-06-01,0,"by giving him its highest rating the american bar association confirms what we all know judge garland should serve on the supreme court"
"61",2016-06-22,2016-06-01,-2,"<span class=""sentiment2"">thank</span> you john lewis for leading on <span class=""sentiment-1"">gun</span> <span class=""sentiment-3"">violence</span> where we need it most https//tco/vctfqah5wt"
"60",2016-06-27,2016-06-01,3,"every woman has a constitutional right to make her own reproductive choices i'm <span class=""sentiment3"">pleased</span> to see the supreme court reaffirm that fact today"
"59",2016-06-27,2016-06-01,6,"women’s <span class=""sentiment2"">opportunities</span> are expanded and our nation is <span class=""sentiment2"">stronger</span> when all of our citizens have accessible affordable health <span class=""sentiment2"">care</span>"
"58",2016-06-30,2016-06-01,5,"until next time justin <span class=""sentiment3"">good</span> to know that canada and the world will <span class=""sentiment2"">benefit</span> from your leadership for years to come https//tco/t10g64niul"
"57",2016-06-30,2016-06-01,0,"<span class=""sentiment2"">proud</span> to sign laws to <span class=""sentiment2"">improve</span> transparency and <span class=""sentiment-1"">avert</span> a <span class=""sentiment-3"">crisis</span> in puerto rico i'd hoped to use my pen more often before congress left town"
"56",2016-06-30,2016-06-01,1,"congress is leaving a hefty to-do list undone health officials still need <span class=""sentiment-2"">emergency</span> funding to <span class=""sentiment2"">effectively</span> <span class=""sentiment1"">protect</span> americans from zika"
"55",2016-06-30,2016-06-01,0,"after more than 100 days the supreme court still needs its 9th judge but the senate gop refuses to do its job and consider judge garland"
"54",2016-06-30,2016-06-01,2,"americans still need and are asking congress to pass commonsense <span class=""sentiment-1"">gun</span> laws that <span class=""sentiment2"">strengthen</span> background checks and keep our communities <span class=""sentiment1"">safe</span>"
"53",2016-06-30,2016-06-01,5,"the list goes on when members return i <span class=""sentiment2"">hope</span> they'll <span class=""sentiment1"">share</span> my <span class=""sentiment2"">commitment</span> to work together to do what must be done https//tco/l8nchcxpml"
"52",2016-06-30,2016-06-01,4,"rt @marchofdimes 2016 nat'l amb ismael was <span class=""sentiment2"">honored</span> to meet @potus today &amp talk about the need to <span class=""sentiment2"">help</span> babies &amp #zapzika https//tco/zzw…"
"51",2016-07-02,2016-07-01,3,"elie wiesel was a <span class=""sentiment3"">great</span> moral voice of our time and a conscience for our world he was also a <span class=""sentiment2"">dear</span> friend we will <span class=""sentiment-2"">miss</span> him deeply"
"50",2016-07-04,2016-07-01,7,"<span class=""sentiment3"">happy</span> fourth of july everybody and to our <span class=""sentiment2"">brave</span> men and women in uniform on this day and every day we <span class=""sentiment2"">thank</span> you"
"49",2016-07-05,2016-07-01,2,"incredible after a 5-year journey we're up close and personal with our solar system's largest planet <span class=""sentiment2"">welcome</span> to jupiter @nasajuno"
"48",2016-07-14,2016-07-01,2,"<span class=""sentiment2"">congrats</span> carla hayden our newest librarian of congress her confirmation is certainly one for the history books https//tco/5t8rvsrp9e"
"47",2016-07-18,2016-07-01,1,"44 men came home because chuck kettles believed that we <span class=""sentiment-1"">leave</span> <span class=""sentiment-1"">no</span> man behind that's america at our <span class=""sentiment3"">best</span> https//tco/uymo2aarhg"
"46",2016-07-20,2016-07-01,1,"this map says it all stay <span class=""sentiment1"">safe</span> as it heats up drink water stay out of the sun and check on your neighbors https//tco/c1qftmq2iv"
"45",2016-07-22,2016-07-01,2,"¡bienvenido amigo we value our enduring partnership with mexico &amp will work to <span class=""sentiment2"">strengthen</span> it in the years to come https//tco/mjlabsm7jf"
"44",2016-07-26,2016-07-01,5,"incredible speech by an incredible woman couldn't be more <span class=""sentiment2"">proud</span> &amp our country has been blessed to have her as flotus i <span class=""sentiment3"">love</span> you michelle"
"43",2016-07-29,2016-07-01,3,"<span class=""sentiment3"">great</span> speech she's tested she's ready she never quits that's why hillary should be our next @potus she'll get the twitter handle too"
"42",2016-08-05,2016-08-01,2,"longest streak of total job <span class=""sentiment2"">growth</span> on record wages rising at fastest pace in 7 years we've come a long way america—let's keep it going"
"41",2016-08-05,2016-08-01,2,"ready to root on #teamusa our team's unity and diversity makes us so <span class=""sentiment2"">proud</span> - and reminds the world why america sets the gold standard"
"40",2016-08-05,2016-08-01,0,"tonight the first-ever #teamrefugees will also stand before the world and prove that you can succeed <span class=""sentiment-1"">no</span> <span class=""sentiment1"">matter</span> where you're from"
"39",2016-08-06,2016-08-01,1,"the <span class=""sentiment-2"">struggle</span> for the voting rights act taught us that people who <span class=""sentiment3"">love</span> this country can change it don't give away your power - go vote"
"38",2016-08-11,2016-08-01,-1,"been waiting to <span class=""sentiment-1"">drop</span> this summer playlist the encore what's everybody listening to https//tco/mqh1yvrycj"
"37",2016-08-14,2016-08-01,4,"final <span class=""sentiment4"">win</span> for phelps world record for ledecky 3 #1 finishes for biles that's how #teamusa gets america to 1000 golds-way to make history"
"36",2016-08-22,2016-08-01,2,"couldn't be prouder of #teamusa your determination and passion <span class=""sentiment2"">inspired</span> so many of us you carried that flag high tonight @simone_biles"
"35",2016-08-25,2016-08-01,0,"felicitaciones @juanmansantos and colombia after decades of <span class=""sentiment-2"">war</span> we stand with you in building a future of <span class=""sentiment2"">peace</span> https//tco/haxjaqgs9f"
"34",2016-08-25,2016-08-01,6,"100 years and going <span class=""sentiment2"">strong</span> <span class=""sentiment2"">thanks</span> @natlparkservice for your service so our kids <span class=""sentiment2"">enjoy</span> our parks as much as we have https//tco/1v3w2hld6f"
"33",2016-08-26,2016-08-01,-1,"nearly 100 years ago women <span class=""sentiment-1"">broke</span> down barriers to the ballot box moving us closer to a more equal nation let's finish what they started"
"32",2016-08-29,2016-08-01,4,"<span class=""sentiment2"">congratulations</span> to maine-endwell little league world series champs and still undefeated <span class=""sentiment2"">proud</span> of you and the sportsmanship you showed"
"31",2016-08-29,2016-08-01,4,"<span class=""sentiment2"">congrats</span> to nasa and the scientists taking us a step closer to mars now <span class=""sentiment2"">enjoy</span> hawaii and get a shave ice https//tco/lfzjsnn38x"
"30",2016-09-05,2016-09-01,2,"<span class=""sentiment3"">happy</span> labor day - longest streak of job <span class=""sentiment2"">growth</span> ever <span class=""sentiment-2"">unemployment</span> <span class=""sentiment-1"">cut</span> in half that's what hardworking americans can do let's keep going"
